pdb	seed	DockQ_HA	iRMSD_HA	fnat_HA
8ezk	105	0.030594414766545217	18.185601288557162	0.025
8ezl	101	0.014435197849900758	26.051659043471915	0.0
8ezl	102	0.018737602313344127	24.665982136918064	0.0
8ezl	103	0.5535773782922967	1.7921991608315364	0.7424242424242424
8ezl	104	0.022579703918376024	25.424585227993134	0.0
8ezl	105	0.5563375775767236	1.508893858165931	0.7121212121212122
8ezm	101	0.07894360080741318	26.60987746293497	0.22580645161290322
8ezm	102	0.07358911383732385	26.62024588200949	0.20967741935483872
8ezm	103	0.07364529444431633	26.9705776596437	0.20967741935483872
8ezm	104	0.044948062000293776	21.537933581615462	0.0967741935483871
8ezm	105	0.0789416220774135	26.82687175222168	0.22580645161290322
8f5i	101	0.8295189575076729	1.1065485198286604	0.9130434782608695
8f5i	102	0.696824460016663	1.4557186214966351	0.8695652173913043
8f5i	103	0.7523895885432391	1.3734511792559927	0.9130434782608695
8f5i	104	0.7463782084769472	1.3725810938968124	0.9130434782608695
8f5i	105	0.7603840812418844	1.3043021253331875	0.9130434782608695
8f6u	101	0.432446333920927	3.1196060854420278	0.5076923076923077
8f6u	102	0.20202434654744786	6.153912124379651	0.4
8f6u	103	0.9537624932170304	0.38148408970576386	0.9692307692307692
8f6u	104	0.9527050391412519	0.3808682131912633	0.9538461538461539
8f6u	105	0.932226177463186	0.43651420332682017	0.9384615384615385
8f6v	101			
8f6v	102	0.00879720533250452	16.741189891733963	0.0
8f6v	103			
8f6v	104			
8f6v	105			
8fdo	101	0.4100391280732825	4.251380982413419	0.5178571428571429
8fdo	102	0.5284365411648144	3.1065880357874684	0.5892857142857143
8fdo	103	0.5377440461894655	2.874323175661613	0.5714285714285714
8fdo	104	0.4878054820869644	4.390113437460198	0.5178571428571429
8fdo	105	0.569752952110527	2.9188791325226586	0.6071428571428571
8fxv	101	0.01081135642644681	16.1938127002249	0.0
8fxv	102	0.011058550431302723	16.255908520067077	0.0
8fxv	103	0.008512690374637323	21.487229187515748	0.0
8fxv	104	0.11766696712267265	7.998606030557741	0.1746031746031746
8fxv	105	0.013706575646970656	13.7078864357457	0.0
8g0i	101	0.01145966738757846	15.681661725590669	0.0
8g0i	102	0.011901548102654308	15.393259595852916	0.0
8g0i	103	0.9409493839451533	0.44422466334613214	0.9180327868852459
8g0i	104	0.9437073507596457	0.43662503322748547	0.9180327868852459
8g0i	105	0.9342089467844067	0.45494285109677374	0.9016393442622951
8g4p	101	0.06740877326180715	13.954184500613867	0.08333333333333333
8g4p	102	0.06485246126523246	14.04097162231675	0.08333333333333333
8g4p	103	0.07983244545309716	14.07189895927774	0.125
8g4p	104	0.08350189474379126	13.835278525523474	0.125
8g4p	105	0.0838509438528355	13.630107585541836	0.125
8gjr	101	0.9524691159737615	0.4906784147328125	0.967741935483871
8gjr	102	0.9239237849614508	0.5549398374613328	0.9193548387096774
8gjr	103	0.8932021851650848	0.5397880941390798	0.8387096774193549
8gjr	104	0.9360851996321419	0.5932466258225312	0.967741935483871
8gjr	105	0.9491330389148619	0.5113828126356537	0.967741935483871
8gy5	101	0.40111422994626206	3.512740261919881	0.7142857142857143
8gy5	102	0.7098326495518036	1.4714976773707344	0.8214285714285714
8gy5	103			
8gy5	104	0.572297385008211	2.331447413425169	0.7142857142857143
8gy5	105			
8gye	101	0.7405613283509825	0.8193410783075216	0.8809523809523809
8gye	102	0.008093516972016516	14.583387808146556	0.0
8gye	103	0.008416376945150005	14.414741805518213	0.0
8gye	104	0.008347507337517017	14.571657608184074	0.0
8gye	105	0.7141827615383658	1.2181307811395297	0.7619047619047619
8h5t	101	0.055185549130796076	8.086831448486704	0.03278688524590164
8h5t	102	0.028942677844949315	8.493649101935954	0.0
8h5t	103	0.032604670731365054	8.177881506818006	0.0
8h5t	104	0.08750763317256323	9.284947982948134	0.11475409836065574
8h5t	105	0.029127982374550204	8.55328684309795	0.0
8h5u	101	0.010075088021900961	19.060467697392756	0.0
8h5u	102	0.010104256521164394	19.241780115830068	0.0
8h5u	103			
8h5u	104	0.009803891220004355	19.34979790743375	0.0
8h5u	105	0.010258870963215637	19.091608155237342	0.0
8h63	101	0.7991247109231502	1.0563682104386147	0.7808219178082192
8h63	102	0.8006270599934444	0.9977788392281357	0.7397260273972602
8h63	103	0.7869776311328334	1.0594101328792018	0.726027397260274
8h63	104	0.8127456245854138	0.9539055212384089	0.7534246575342466
8h63	105	0.7730182367863015	1.0426528462142435	0.6986301369863014
8h64	101			
8h64	102			
8h64	103			
8h64	104			
8h64	105			
8hes	101	0.017869993805429255	21.727085753195354	0.0
8hes	102	0.049780227059875996	9.220142542166542	0.06557377049180328
8hes	103	0.018783638810064094	21.94201676258076	0.0
8hes	104	0.015213181369394204	17.064999530746405	0.0
8hes	105	0.018996402355334504	16.72449017325783	0.0
8hr2	101	0.0100302417552321	14.831881280181868	0.0
8hr2	102	0.009851543789022879	15.001890260415127	0.0
8hr2	103	0.010076595993816212	14.488882390028843	0.0
8hr2	104	0.3562186779681751	3.0390017521789514	0.2978723404255319
8hr2	105	0.01694019836205049	14.970802009475632	0.02127659574468085
8idi	101	0.008390339002325022	15.384967574954516	0.0
8idi	102			
8idi	103			
8idi	104	0.008561683806930507	15.52963687258111	0.0
8idi	105	0.00830307765087805	15.537581024440248	0.0
8ido	101	0.006880960172094944	19.039284704391317	0.0
