pdb	trunk	DockQ_HA	iptm	aggregate_score
8byu	4	0.0081266870073202	0.559063196182251	0.5861833095550537
8c3k	0	0.9137078058968524	0.8653225898742676	0.8806164264678955
8c3k	1	0.886423523759559	0.8673123121261597	0.8823167085647583
8c3k	2	0.8994823630820354	0.8671903014183044	0.8821386098861694
8c3k	3	0.8581027108211305	0.863031268119812	0.878512978553772
8c3k	4	0.8795020172037774	0.8638964891433716	0.879313588142395
8c5h	0	0.0131189795462387	0.23849806189537048	0.31716176867485046
8c5h	1	0.0134485392996734	0.23305587470531464	0.3119433522224426
8c5h	2	0.0503435470702462	0.2205813229084015	0.30112239718437195
8c5h	3	0.0146192460162046	0.2799801528453827	0.35373157262802124
8c5h	4	0.089627053363543	0.2333759218454361	0.31263190507888794
8cbf	1	0.0215188369543934	0.5778799653053284	0.6059283018112183
8cbf	2	0.0251230301192159	0.58461594581604	0.612704873085022
8cbf	3	0.0187051864361913	0.5788100361824036	0.6068871021270752
8cbf	4	0.0225985254895961	0.574687123298645	0.6029269099235535
8d9y	0		0.7566120624542236	0.7756641507148743
8d9y	1		0.7553889751434326	0.7744927406311035
8d9y	2		0.7411545515060425	0.7608208656311035
8d9y	3		0.7681294679641724	0.7862449884414673
8d9y	4		0.7619544863700867	0.7806472778320312
8d9z	0	0.1141168039584881	0.7629499435424805	0.7811449766159058
8d9z	1	0.1602690310242153	0.7582170963287354	0.7764780521392822
8d9z	2	0.128043983591805	0.7570287585258484	0.775334894657135
8d9z	3	0.1235478577570873	0.756090521812439	0.7744783163070679
8d9z	4	0.1544755369306578	0.7567731142044067	0.7751598954200745
8da0	0	0.1207616223265638	0.7530792951583862	0.7722775936126709
8da0	1	0.1115108957886443	0.7538569569587708	0.7729844450950623
8da0	2		0.7569867372512817	0.7756847739219666
8da0	3	0.1094500745516681	0.7561777830123901	0.7750263810157776
8da0	4		0.7693405151367188	0.7871873378753662
8ee2	0		0.28322774171829224	0.38703376054763794
8ee2	1		0.24834680557250977	0.35637444257736206
8ee2	2		0.25782862305641174	0.36512279510498047
8ee2	3		0.22875094413757324	0.33937180042266846
8ee2	4		0.2130749672651291	0.3259749114513397
8eln	0		0.31219393014907837	0.4085194170475006
8eln	1	0.5716268702652568	0.3522573411464691	0.4446749985218048
8eln	2		0.36338430643081665	0.45599696040153503
8eln	3		0.36336904764175415	0.45581626892089844
8eln	4		0.40600666403770447	0.49253782629966736
8elq	0	0.0102875406357242	0.19796769320964813	0.2954995334148407
8elq	1	0.0110509873529363	0.18921226263046265	0.2875712513923645
